utterance,intent,category,tags,intent_label
can you help me with: how to set up fail2ban??,fail2ban_setup,,,
i'm not sure how to: how to set up fail2ban?,fail2ban_setup,,,
what's the correct way to how to set up fail2ban??,fail2ban_setup,,,
any idea how i should handle: how to set up fail2ban??,fail2ban_setup,,,
step-by-step for: how to set up fail2ban??,fail2ban_setup,,,
how to set up fail2ban?,fail2ban_setup,,,
can you help me with: ssh brute force nasıl engellenir??,fail2ban_setup,,,
i'm not sure how to: ssh brute force nasıl engellenir?,fail2ban_setup,,,
what's the correct way to ssh brute force nasıl engellenir??,fail2ban_setup,,,
any idea how i should handle: ssh brute force nasıl engellenir??,fail2ban_setup,,,
step-by-step for: ssh brute force nasıl engellenir??,fail2ban_setup,,,
ssh brute force nasıl engellenir?,fail2ban_setup,,,
can you help me with: jail dosyası nasıl düzenlenir??,fail2ban_setup,,,
i'm not sure how to: jail dosyası nasıl düzenlenir?,fail2ban_setup,,,
what's the correct way to jail dosyası nasıl düzenlenir??,fail2ban_setup,,,
any idea how i should handle: jail dosyası nasıl düzenlenir??,fail2ban_setup,,,
step-by-step for: jail dosyası nasıl düzenlenir??,fail2ban_setup,,,
jail dosyası nasıl düzenlenir?,fail2ban_setup,,,
can you help me with: fail2ban kurulumu??,fail2ban_setup,,,
i'm not sure how to: fail2ban kurulumu?,fail2ban_setup,,,
what's the correct way to fail2ban kurulumu??,fail2ban_setup,,,
any idea how i should handle: fail2ban kurulumu??,fail2ban_setup,,,
step-by-step for: fail2ban kurulumu??,fail2ban_setup,,,
fail2ban kurulumu?,fail2ban_setup,,,
can you help me with: fail2ban nedir??,fail2ban_setup,,,
i'm not sure how to: fail2ban nedir?,fail2ban_setup,,,
what's the correct way to fail2ban nedir??,fail2ban_setup,,,
any idea how i should handle: fail2ban nedir??,fail2ban_setup,,,
step-by-step for: fail2ban nedir??,fail2ban_setup,,,
fail2ban nedir?,fail2ban_setup,,,
can you help me with: resource limit hatası çözümü??,system_resource_limits,,,
i'm not sure how to: resource limit hatası çözümü?,system_resource_limits,,,
what's the correct way to resource limit hatası çözümü??,system_resource_limits,,,
any idea how i should handle: resource limit hatası çözümü??,system_resource_limits,,,
step-by-step for: resource limit hatası çözümü??,system_resource_limits,,,
resource limit hatası çözümü?,system_resource_limits,,,
can you help me with: ulimit nedir??,system_resource_limits,,,
i'm not sure how to: ulimit nedir?,system_resource_limits,,,
what's the correct way to ulimit nedir??,system_resource_limits,,,
any idea how i should handle: ulimit nedir??,system_resource_limits,,,
step-by-step for: ulimit nedir??,system_resource_limits,,,
ulimit nedir?,system_resource_limits,,,
can you help me with: bir prosese kaç dosya açabilir??,system_resource_limits,,,
i'm not sure how to: bir prosese kaç dosya açabilir?,system_resource_limits,,,
what's the correct way to bir prosese kaç dosya açabilir??,system_resource_limits,,,
any idea how i should handle: bir prosese kaç dosya açabilir??,system_resource_limits,,,
step-by-step for: bir prosese kaç dosya açabilir??,system_resource_limits,,,
bir prosese kaç dosya açabilir?,system_resource_limits,,,
can you help me with: limits.conf dosyası ne işe yarar??,system_resource_limits,,,
i'm not sure how to: limits.conf dosyası ne işe yarar?,system_resource_limits,,,
what's the correct way to limits.conf dosyası ne işe yarar??,system_resource_limits,,,
any idea how i should handle: limits.conf dosyası ne işe yarar??,system_resource_limits,,,
step-by-step for: limits.conf dosyası ne işe yarar??,system_resource_limits,,,
limits.conf dosyası ne işe yarar?,system_resource_limits,,,
can you help me with: ulimit ile limit artırmak??,system_resource_limits,,,
i'm not sure how to: ulimit ile limit artırmak?,system_resource_limits,,,
what's the correct way to ulimit ile limit artırmak??,system_resource_limits,,,
any idea how i should handle: ulimit ile limit artırmak??,system_resource_limits,,,
step-by-step for: ulimit ile limit artırmak??,system_resource_limits,,,
ulimit ile limit artırmak?,system_resource_limits,,,
can you help me with: how to pull latest code from git??,git_operations,,,
i'm not sure how to: how to pull latest code from git?,git_operations,,,
what's the correct way to how to pull latest code from git??,git_operations,,,
any idea how i should handle: how to pull latest code from git??,git_operations,,,
step-by-step for: how to pull latest code from git??,git_operations,,,
how to pull latest code from git?,git_operations,,,
can you help me with: git stash nasıl çalışır??,git_operations,,,
i'm not sure how to: git stash nasıl çalışır?,git_operations,,,
what's the correct way to git stash nasıl çalışır??,git_operations,,,
any idea how i should handle: git stash nasıl çalışır??,git_operations,,,
step-by-step for: git stash nasıl çalışır??,git_operations,,,
git stash nasıl çalışır?,git_operations,,,
can you help me with: git clone nedir??,git_operations,,,
i'm not sure how to: git clone nedir?,git_operations,,,
what's the correct way to git clone nedir??,git_operations,,,
any idea how i should handle: git clone nedir??,git_operations,,,
step-by-step for: git clone nedir??,git_operations,,,
git clone nedir?,git_operations,,,
can you help me with: git reset nasıl yapılır??,git_operations,,,
i'm not sure how to: git reset nasıl yapılır?,git_operations,,,
what's the correct way to git reset nasıl yapılır??,git_operations,,,
any idea how i should handle: git reset nasıl yapılır??,git_operations,,,
step-by-step for: git reset nasıl yapılır??,git_operations,,,
git reset nasıl yapılır?,git_operations,,,
can you help me with: git’te commit geri almak??,git_operations,,,
i'm not sure how to: git’te commit geri almak?,git_operations,,,
what's the correct way to git’te commit geri almak??,git_operations,,,
any idea how i should handle: git’te commit geri almak??,git_operations,,,
step-by-step for: git’te commit geri almak??,git_operations,,,
git’te commit geri almak?,git_operations,,,
can you help me with: adduser ile user farkı??,linux_user_add,,,
i'm not sure how to: adduser ile user farkı?,linux_user_add,,,
